testfall_id,stufe,workflow,score_strukturell,score_semantisch,score_gesamt,syntax_gate,fk_gate,pk_rate,pk_tabellen_gesamt,pk_tabellen_mit_pk,fk_referenzen_gesamt,fk_referenzen_ungueltig,entitaet_precision,entitaet_recall,entitaet_f1,entitaet_matched,entitaet_nur_in_referenz,entitaet_nur_in_generiert,attribut_precision,attribut_recall,attribut_f1,attribut_matched,attribut_nur_in_referenz,attribut_nur_in_generiert,beziehung_recall,beziehung_matched,beziehung_nur_in_referenz,beziehung_nur_in_generiert,abweichungen_total,input_tokens,output_tokens,total_tokens,llm_calls,error
TC017,1,mad,1.0,0.4666666666666667,0.6799999999999999,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5,0.5,0.5,8,8,8,0.0,0,2,0,11,28038,6028,34066,8,
TC018,1,sa,0.0,0.5228070175438596,0.31368421052631573,0,1,1.0,3,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.47368421052631576,0.47368421052631576,0.47368421052631576,9,10,10,0.3333333333333333,1,2,0,13,2306,835,3141,1,ddl_generation_failed: Zirkelreferenz im Schema entdeckt: caregivers -> groups -> caregivers. Topologische Sortierung nicht möglich.
TC018,1,ps,0.0,0.5228070175438596,0.31368421052631573,0,1,1.0,3,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.47368421052631576,0.47368421052631576,0.47368421052631576,9,10,10,0.3333333333333333,1,2,0,13,7337,2863,10200,3,ddl_generation_failed: Zirkelreferenz im Schema entdeckt: caregivers -> groups -> caregivers. Topologische Sortierung nicht möglich.
TC018,1,iw,0.0,0.5649122807017544,0.3389473684210526,0,1,1.0,3,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5789473684210527,0.5789473684210527,0.5789473684210527,11,8,8,0.3333333333333333,1,2,0,11,21526,6991,28517,6,ddl_generation_failed: Zirkelreferenz im Schema entdeckt: caregivers -> groups -> caregivers. Topologische Sortierung nicht möglich.
TC018,1,oa,1.0,0.5228070175438596,0.7136842105263157,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.47368421052631576,0.47368421052631576,0.47368421052631576,9,10,10,0.3333333333333333,1,2,0,13,25877,7175,33052,7,
TC018,1,mad,0.0,0.543859649122807,0.3263157894736842,0,1,1.0,3,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5263157894736842,0.5263157894736842,0.5263157894736842,10,9,9,0.3333333333333333,1,2,0,12,31526,8278,39804,8,ddl_generation_failed: Zirkelreferenz im Schema entdeckt: caregivers -> groups -> caregivers. Topologische Sortierung nicht möglich.
TC019,1,sa,1.0,0.9764705882352942,0.9858823529411765,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9411764705882353,0.9411764705882353,0.9411764705882353,16,1,1,1.0,3,0,0,1,2295,808,3103,1,
TC019,1,ps,1.0,0.9636363636363636,0.9781818181818182,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9375,0.8823529411764706,0.9090909090909091,15,2,1,1.0,3,0,0,2,7245,2723,9968,3,
TC019,1,iw,1.0,0.9636363636363636,0.9781818181818182,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9375,0.8823529411764706,0.9090909090909091,15,2,1,1.0,3,0,0,2,5566,1601,7167,2,
TC019,1,oa,1.0,0.9764705882352942,0.9858823529411765,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9411764705882353,0.9411764705882353,0.9411764705882353,16,1,1,1.0,3,0,0,1,12626,3553,16179,4,
TC019,1,mad,1.0,0.9636363636363636,0.9781818181818182,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9375,0.8823529411764706,0.9090909090909091,15,2,1,1.0,3,0,0,2,28244,6217,34461,8,
TC020,1,sa,1.0,0.6166666666666666,0.77,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.625,0.625,0.625,10,6,6,0.5,1,1,0,8,2306,702,3008,1,
TC020,1,ps,1.0,0.6166666666666666,0.77,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.625,0.625,0.625,10,6,6,0.5,1,1,0,8,7215,2577,9792,3,
TC020,1,iw,1.0,0.5989247311827957,0.7593548387096773,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6,0.5625,0.5806451612903225,9,7,6,0.5,1,1,0,9,20269,5623,25892,6,
